CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well,RECOVERY,acuifero
1b54df2c,2720,13.5,119,1560,134.0,13.7,40.0,522.5,492.0,1.03,,107700.0,Medium,0.17300000000000001,0.49,340,0.431,190.0,110,12.014646137881465,16.532691764724653,156.9115,407.87602499999986,257220.57625,292.9464875000001,33.0,0.4589789303079408,0.311,0.8457892857142872,0.213,3.5105211267605356,1.77,1.0,2.0,33.16212499999998,7100.0,22500.0,0.0,40683.16690442231,2357.9457364341033,16.0,7.0,31497.742906098574,,1
84d69ded,1010,42.7,93,1320,97.0,37.4,347.54914809960695,2.2,1198.0,1.07,,124000.0,None,0.1,0.84,40,0.445,10.0,270,23.335751037888315,29.38379224131681,156.9115,407.87602499999986,257220.57625,292.9464875000001,362.0,0.4589789303079408,0.32299999999999995,0.9026,0.34043012912482085,3.5105211267605356,2.2025450000000264,0.0,0.0,33.16212499999998,24000.0,0.0,0.0,40683.16690442231,2357.9457364341033,149.0,201.0,49129.34555905403,,0
4376f799,11450,23.9,78,5830,244.0,13.3,120.0,38.24694148936168,1613.0,1.0672,,45300.0,Strong,0.28,0.71,670,0.295,620.0,330,23.90652822685785,30.788524188020823,156.9115,407.87602499999986,257220.57625,292.9464875000001,90.0,0.4589789303079408,0.2612,0.6652,0.34043012912482085,3.5105211267605356,2.2025450000000264,4.0,8.780780780780672,33.16212499999998,35000.0,56200.0,25.67164179104483,40683.16690442231,2357.9457364341033,18.025099075297234,2.0,76594.63250566622,,3
80d83419,2360,30.5,213,4830,133.0,40.1,1310.0,1.0,4373.0,1.13,,118000.0,Weak,0.11,0.69,80,0.409,50.0,350,44.17215011391306,51.93032383893819,156.9115,407.87602499999986,257220.57625,292.9464875000001,8134.0,0.4589789303079408,0.2448,0.8457892857142872,0.31,3.5105211267605356,2.388,5.7838827838827855,1.0,33.16212499999998,32000.0,113300.0,100.0,40683.16690442231,2357.9457364341033,35.0,38.0,13310.549297911015,,5
47785e6d,5110,20.42978177150193,120,3880,134.0,14.0,70.0,883.2,819.0,1.03,,101500.0,Weak,0.191,0.55,130,0.41600000000000004,60.0,160,22.459924465688665,28.397559209366364,156.9115,407.87602499999986,257220.57625,292.9464875000001,50.0,0.4589789303079408,0.3353,0.986,0.44,3.5105211267605356,2.2025450000000264,1.0,1.0,33.16212499999998,6200.0,17400.0,0.0,40683.16690442231,2357.9457364341033,12.0,7.0,35347.34789877111,,5
d477fb5e,3470,34.8,243,1800,157.0,25.1,200.0,5.0,1621.0,1.09,,105700.0,Medium,0.11599999999999999,0.75,140,0.406,423.3383010432194,580,20.562313219020325,25.053462821363976,156.9115,407.87602499999986,257220.57625,292.9464875000001,6174.0,0.4589789303079408,0.25912882096070033,0.94,0.23,3.5105211267605356,2.64,2.0,8.780780780780672,33.16212499999998,38800.0,62122.82321899733,0.0,40683.16690442231,2357.9457364341033,23.0,6.0,20029.135167977074,,1
e59fe1c3,2860,22.1,209,1860,118.0,18.9,40.0,155.4,343.0,1.024,,88400.0,Medium,0.213,0.5,250,0.39,170.0,420,16.525572261711915,20.728759079667707,156.9115,407.87602499999986,257220.57625,292.9464875000001,32.0,0.4589789303079408,0.306,0.8457892857142872,0.2657,3.5105211267605356,2.2025450000000264,2.0,3.0,33.16212499999998,39000.0,57300.0,0.0,40683.16690442231,2357.9457364341033,21.0,9.0,22998.4120615916,,1
5d58feaf,6320,17.9,175,3950,144.0,33.4,370.0,2.1,1662.0,1.1151,,78300.0,Weak,0.21,0.5,180,0.313,140.0,330,34.49769072011017,41.44793638919342,156.9115,407.87602499999986,257220.57625,292.9464875000001,280.0,0.4589789303079408,0.25912882096070033,0.96,0.37,3.5105211267605356,2.2025450000000264,1.0,2.0,33.16212499999998,27000.0,28000.0,25.67164179104483,40683.16690442231,2357.9457364341033,12.0,7.0,39923.17079728382,,5
98ffc021,1470,22.1,405,1120,101.0,33.8,120.0,4.5,440.0,1.04,,93900.0,Weak,0.138,0.73,150,0.37,80.0,720,33.456585358105414,35.53557158908057,156.9115,407.87602499999986,257220.57625,292.9464875000001,90.0,0.4589789303079408,0.25912882096070033,0.8528,0.33,3.5105211267605356,1.78,5.7838827838827855,4.0,33.16212499999998,70000.0,142500.0,25.67164179104483,40683.16690442231,2357.9457364341033,29.0,22.0,14348.311615648985,,5
2038df4d,8250,26.3,161,3800,241.0,32.8,70.0,2.3,1588.1898395721917,1.0486,,13800.0,,0.237,0.62,1220,0.195,910.0,720,27.664503697837308,33.89418618916604,156.9115,407.87602499999986,257220.57625,292.9464875000001,56.0,0.4589789303079408,0.24,0.8457892857142872,0.39,3.44,2.2025450000000264,5.7838827838827855,14.0,33.16212499999998,69000.0,84600.0,0.0,40683.16690442231,2357.9457364341033,7.0,9.332857142857154,64091.07472110441,,0
